Name,Tm,Age,PA,AB,R,H,HR,TB,RBI,BB,SB,K,AVG,OBP,SLG,OPS,wOBA,WAR
"<a href=""https://www.baseball-reference.com/players/c/caudibi01.shtml"">Bill Caudill</a>",CHN,23,10,9,0,2,0,3,1,0,0,2,.222,.222,.333,.556,.245,0.02
"<a href=""https://www.baseball-reference.com/players/c/cedence01.shtml"">Cesar Cedeno</a>",HOU,29,569,499,71,154,10,232,73,66,48,72,.309,.389,.465,.854,.378,5.06
"<a href=""https://www.baseball-reference.com/players/c/ceronri01.shtml"">Rick Cerone</a>",NYA,26,575,519,70,144,14,224,85,32,1,56,.277,.321,.432,.753,.334,4.19
"<a href=""https://www.baseball-reference.com/players/c/ceyro01.shtml"">Ron Cey</a>",LAN,32,630,551,81,140,28,249,77,69,2,92,.254,.342,.452,.794,.355,5.00
"<a href=""https://www.baseball-reference.com/players/c/chalkda01.shtml"">Dave Chalk</a>",KCA,29,190,167,19,42,1,57,20,18,1,27,.251,.326,.341,.668,.307,-0.04
"<a href=""https://www.baseball-reference.com/players/c/chambch01.shtml"">C. Chambliss</a>",ATL,31,661,602,83,170,18,265,72,49,7,73,.282,.338,.440,.779,.346,2.77
"<a href=""https://www.baseball-reference.com/players/c/chappha01.shtml"">H. Chappas</a>",CHA,22,56,50,6,8,0,10,2,4,0,10,.160,.236,.200,.436,.211,-0.01
"<a href=""https://www.baseball-reference.com/players/c/charbjo01.shtml"">J. Charboneau</a>",CLE,25,512,453,76,131,23,221,87,49,2,70,.289,.358,.488,.846,.376,2.38
"<a href=""https://www.baseball-reference.com/players/c/chrisla01.shtml"">L. Christenson</a>",PHI,26,25,19,6,7,1,10,4,3,0,9,.368,.455,.526,.981,.442,0.56
"<a href=""https://www.baseball-reference.com/players/c/clarkbo04.shtml"">Bobby Clark</a>",CAL,25,275,261,26,60,5,87,23,11,0,42,.230,.266,.333,.600,.272,-0.11
"<a href=""https://www.baseball-reference.com/players/c/clarkja01.shtml"">Jack Clark</a>",SFN,24,524,437,77,124,22,226,82,74,2,52,.284,.382,.517,.900,.388,4.65
"<a href=""https://www.baseball-reference.com/players/c/clibust01.shtml"">Stan Cliburn</a>",CAL,23,60,56,7,10,2,18,6,3,0,9,.179,.217,.321,.538,.241,-0.24
"<a href=""https://www.baseball-reference.com/players/c/collida02.shtml"">Dave Collins</a>",CIN,27,613,551,94,167,3,204,35,53,79,68,.303,.366,.370,.736,.336,3.32
"<a href=""https://www.baseball-reference.com/players/c/conceda01.shtml"">D. Concepcion</a>",CIN,32,668,622,72,162,5,224,77,37,12,107,.260,.300,.360,.660,.297,1.70
"<a href=""https://www.baseball-reference.com/players/c/conceon01.shtml"">O. Concepcion</a>",KCA,22,15,15,1,2,0,2,2,0,0,1,.133,.133,.133,.267,.121,-0.44
