Name,Team,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/c/carlsha01.shtml"">Hal Carlson</a>",CHN,36,56&‌#8531;,3,2,4,74,42,37,4,15,11,5.911,4.211,1.580,.73,-1.07
"<a href=""https://www.baseball-reference.com/players/c/carroow01.shtml"">Ownie Carroll</a>",DET,25,231,16,12,2,219,100,84,6,87,51,3.273,3.898,1.325,.59,.00
"<a href=""https://www.baseball-reference.com/players/c/chaplti01.shtml"">Tiny Chaplin</a>",NY1,22,24,0,2,0,27,15,12,0,8,5,4.500,3.474,1.458,.62,-.23
"<a href=""https://www.baseball-reference.com/players/c/clarkbi02.shtml"">Bill Clarkson</a>",2,29,40&‌#8531;,0,2,0,63,35,31,2,23,11,6.917,4.414,2.132,.48,-.21
"<a href=""https://www.baseball-reference.com/players/c/clarkwa02.shtml"">Watty Clark</a>",BRO,26,194&‌#8532;,12,9,3,193,75,58,4,50,85,2.682,3.048,1.248,1.70,.00
"<a href=""https://www.baseball-reference.com/players/c/coffmdi01.shtml"">Dick Coffman</a>",SLA,21,85&‌#8532;,4,5,1,122,68,58,7,37,25,6.093,4.524,1.856,.68,-1.10
"<a href=""https://www.baseball-reference.com/players/c/collaha01.shtml"">Hap Collard</a>",CLE,29,4,0,0,0,4,3,1,0,4,1,2.250,5.398,2.000,.25,-.01
"<a href=""https://www.baseball-reference.com/players/c/connasa01.shtml"">Sarge Connally</a>",CHA,29,74&‌#8531;,2,5,2,89,52,40,1,29,28,4.843,3.303,1.587,.97,-.65
"<a href=""https://www.baseball-reference.com/players/c/coonejo01.shtml"">Johnny Cooney</a>",BSN,27,89&‌#8532;,3,7,1,106,47,43,7,31,18,4.316,4.592,1.528,.58,.86
"<a href=""https://www.baseball-reference.com/players/c/covelst01.shtml"">Stan Coveleski</a>",NYA,38,58,5,1,0,72,41,37,5,20,5,5.741,4.911,1.586,.25,-.53
"<a href=""https://www.baseball-reference.com/players/c/coxge01.shtml"">George Cox</a>",CHA,23,89,1,2,0,110,58,52,6,39,22,5.258,4.529,1.674,.56,.11
"<a href=""https://www.baseball-reference.com/players/c/crowdal01.shtml"">General Crowder</a>",SLA,29,244,21,5,2,238,113,100,11,91,99,3.689,3.778,1.348,1.09,.00
"<a href=""https://www.baseball-reference.com/players/d/daneyar01.shtml"">Art Daney</a>",PHA,23,1,0,0,0,1,0,0,0,0,0,.000,2.901,1.000,&infin;,.04
"<a href=""https://www.baseball-reference.com/players/d/dawsojo01.shtml"">Joe Dawson</a>",PIT,31,128&‌#8532;,7,7,3,116,54,47,6,56,36,3.288,4.304,1.337,.64,2.54
"<a href=""https://www.baseball-reference.com/players/d/delanar01.shtml"">Art Delaney</a>",BSN,31,192&‌#8531;,9,17,2,197,100,81,11,56,45,3.790,4.051,1.315,.80,1.50
"<a href=""https://www.baseball-reference.com/players/d/doakbi01.shtml"">Bill Doak</a>",BRO,37,99&‌#8531;,3,8,3,104,51,36,1,35,12,3.262,3.691,1.399,.34,.91
"<a href=""https://www.baseball-reference.com/players/d/donohpe01.shtml"">Pete Donohue</a>",CIN,27,150,7,11,0,180,84,79,10,32,37,4.740,3.846,1.413,1.16,.00
"<a href=""https://www.baseball-reference.com/players/d/duganda01.shtml"">Dan Dugan</a>",CHA,21,0&‌#8531;,0,0,0,0,0,0,0,0,0,.000,2.901,.000,&infin;,.01
"<a href=""https://www.baseball-reference.com/players/e/earnsge01.shtml"">George Earnshaw</a>",PHA,28,158&‌#8531;,7,7,1,143,81,67,7,100,117,3.808,3.851,1.535,1.17,.00
"<a href=""https://www.baseball-reference.com/players/e/edwarfo01.shtml"">Foster Edwards</a>",BSN,24,49&‌#8531;,2,1,0,67,36,31,2,23,17,5.655,3.922,1.824,.74,-.44
"<a href=""https://www.baseball-reference.com/players/e/edwarji01.shtml"">James Edwards</a>",CIN,33,32,2,2,2,43,29,27,1,20,11,7.594,4.422,1.969,.55,-.90
"<a href=""https://www.baseball-reference.com/players/e/ehmkeho01.shtml"">Howard Ehmke</a>",PHA,34,139&‌#8531;,9,8,0,135,65,56,6,44,34,3.617,3.858,1.285,.77,2.21
"<a href=""https://www.baseball-reference.com/players/e/ehrharu01.shtml"">Rube Ehrhardt</a>",BRO,33,54,1,3,2,74,36,28,1,27,12,4.667,4.079,1.870,.44,-.44
"<a href=""https://www.baseball-reference.com/players/e/ellioju01.shtml"">Jumbo Elliott</a>",BRO,27,192,9,14,1,194,106,83,8,64,74,3.891,3.596,1.344,1.16,.00
"<a href=""https://www.baseball-reference.com/players/f/faberre01.shtml"">Red Faber</a>",CHA,39,201&‌#8531;,13,9,0,223,98,84,11,68,43,3.755,4.097,1.445,.63,3.08
"<a href=""https://www.baseball-reference.com/players/f/faulkji01.shtml"">Jim Faulkner</a>",NY1,28,117&‌#8531;,9,8,2,131,61,46,5,41,32,3.528,3.883,1.466,.78,.33
"<a href=""https://www.baseball-reference.com/players/f/fergual01.shtml"">Alex Ferguson</a>",PHI,31,134&‌#8532;,5,10,2,168,86,83,14,52,51,5.547,4.540,1.634,.98,.00
"<a href=""https://www.baseball-reference.com/players/f/ferrewe01.shtml"">Wes Ferrell</a>",CLE,20,16,0,2,0,15,5,4,0,5,4,2.250,3.352,1.250,.80,.00
"<a href=""https://www.baseball-reference.com/players/f/fitzsfr01.shtml"">Freddie Fitzsimmons</a>",NY1,26,261&‌#8531;,20,9,1,264,119,107,13,65,67,3.685,3.769,1.259,1.03,.00
"<a href=""https://www.baseball-reference.com/players/f/frankfr02.shtml"">Fred Frankhouse</a>",SLN,24,84,3,2,1,91,47,37,6,36,29,3.964,4.269,1.512,.81,.00
