cx,cy,nameascii,adm0name,adm0_a3
154.9876,132.6977,La Paz,Mexico,MEX
170.322,129.5143,Torreon,Mexico,MEX
161.519,131.1594,Culiacan,Mexico,MEX
153.5983,116.7698,Nogales,Mexico,MEX
153.5781,121.674,Hermosillo,Mexico,MEX
153.7205,124.2724,Guaymas,Mexico,MEX
175.7017,137.0726,San Luis Potosi,Mexico,MEX
183.4866,128.8296,Matamoros,Mexico,MEX
178.9294,125.2283,Nuevo Laredo,Mexico,MEX
169.6594,143.6126,Colima,Mexico,MEX
199.0476,142.2788,Campeche,Mexico,MEX
185.3318,148.386,Oaxaca,Mexico,MEX
174.1455,139.3401,Leon,Mexico,MEX
429.4802,160.0141,Maiduguri,Nigeria,NGA
415.8087,175.664,Port Harcourt,Nigeria,NGA
419.192,169.1772,Makurdi,Nigeria,NGA
408.9618,169.9508,Ibadan,Nigeria,NGA
409.6509,168.2836,Ogbomosho,Nigeria,NGA
413.0342,174.0901,Warri,Nigeria,NGA
416.7646,162.9706,Kaduna,Nigeria,NGA
441.6667,65.5184,Gdansk,Poland,POL
444.5966,75.073,Krakow,Poland,POL
632.4012,89.4744,Dalandzadgad,Mongolia,MNG
683.5093,99.3069,Wonsan,North Korea,PRK
676.8191,97.2498,Sinuiju,North Korea,PRK
603.9311,79.6197,Dund-Us,Mongolia,MNG
654.7774,79.5086,Choybalsan,Mongolia,MNG
433.9292,245.5997,Luderitz,Namibia,NAM
432.4751,237.3957,Walvis Bay,Namibia,NAM
473.4334,191.963,Mwanza,Tanzania,TZA
