cx,cy,nameascii,adm0name,adm0_a3
177.97742,108.46827692307693,Pueblo,United States of America,USA
182.804588,108.93243076923076,Lamar,United States of America,USA
178.274204,111.12343076923077,Trinidad,United States of America,USA
172.459592,107.83536923076923,Gunnison,United States of America,USA
170.17474399999998,110.8736923076923,Durango,United States of America,USA
170.20952,107.99690769230769,Montrose,United States of America,USA
170.96605999999997,103.11316923076923,Craig,United States of America,USA
176.49836,104.25944615384614,Boulder,United States of America,USA
153.485072,113.97792307692306,Boulder City,United States of America,USA
146.51507600000002,102.02127692307691,Winnemucca,United States of America,USA
178.23564799999997,120.16506153846154,Roswell,United States of America,USA
181.399184,117.74586153846153,Clovis,United States of America,USA
172.820852,122.75516923076921,Las Cruces,United States of America,USA
181.55319199999997,121.79756923076923,Hobbs,United States of America,USA
172.530008,118.56690769230768,Socorro,United States of America,USA
168.12436399999999,115.06690769230768,Gallup,United States of America,USA
178.43393600000002,111.77916923076923,Raton,United States of America,USA
180.148976,115.91509230769229,Tucumcari,United States of America,USA
133.01896399999998,96.64656923076923,Roseburg,United States of America,USA
143.98744399999998,90.77130769230769,Pendleton,United States of America,USA
143.592488,93.7782923076923,John Day,United States of America,USA
133.088408,98.51126153846154,Grants Pass,United States of America,USA
133.2017,93.40524615384615,Corvallis,United States of America,USA
133.66512799999998,93.29001538461539,Albany,United States of America,USA
131.88118400000002,89.53650769230768,Astoria,United States of America,USA
160.682732,100.19567692307692,Logan,United States of America,USA
158.297228,109.51655384615384,Parowan,United States of America,USA
159.021584,111.42012307692308,Kanab,United States of America,USA
166.664204,109.44655384615385,Monticello,United States of America,USA
166.167188,107.76612307692308,Moab,United States of America,USA
163.140164,105.30966153846153,Price,United States of America,USA
157.735736,109.91178461538462,Cedar City,United States of America,USA
166.218056,103.26135384615384,Vernal,United States of America,USA
160.35992,101.40118461538461,Ogden,United States of America,USA
166.36936399999996,100.72563076923078,Green River,United States of America,USA
171.72497599999997,100.06472307692307,Rawlins,United States of America,USA
176.165936,97.75256923076923,Douglas,United States of America,USA
168.93814399999997,97.1021076923077,Riverton,United States of America,USA
169.37122399999998,95.62306153846154,Thermopolis,United States of America,USA
175.87606399999999,94.0976,Gillette,United States of America,USA
211.41130399999997,114.30444615384614,Jonesboro,United States of America,USA
203.408504,120.05123076923077,Texarkana,United States of America,USA
208.292804,118.16812307692307,Pine Bluff,United States of America,USA
205.767224,117.50915384615385,Hot Springs,United States of America,USA
202.54201999999998,115.39698461538461,Fort Smith,United States of America,USA
203.121008,113.77675384615384,Fayetteville,United States of America,USA
207.216584,116.10301538461538,Conway,United States of America,USA
206.709524,120.59744615384615,El Dorado,United States of America,USA
211.69124,100.63129230769229,Davenport,United States of America,USA
210.430232,102.41736923076922,Burlington,United States of America,USA
211.50655999999998,98.36426153846153,Dubuque,United States of America,USA
207.47718799999998,98.3828923076923,Waterloo,United States of America,USA
197.736452,98.36555384615384,Sioux City,United States of America,USA
199.03094000000002,101.32967692307692,Council Bluffs,United States of America,USA
204.41150000000002,99.43461538461538,Ames,United States of America,USA
205.41708799999998,96.8007846153846,Mason City,United States of America,USA
198.261332,108.17179999999999,Emporia,United States of America,USA
194.838164,107.16530769230769,Salina,United States of America,USA
189.049688,109.71395384615384,Dodge City,United States of America,USA
199.59394400000002,111.44241538461537,Coffeyville,United States of America,USA
211.88661199999999,107.26201538461538,St. Charles,United States of America,USA
212.13512,112.10763076923075,Poplar Bluff,United States of America,USA
202.26662,111.33106153846154,Joplin,United States of America,USA
207.49846399999998,106.86021538461539,Columbia,United States of America,USA
201.466448,104.90452307692307,St. Joseph,United States of America,USA
187.590068,103.85936923076922,McCook,United States of America,USA
195.254936,99.49481538461538,Norfolk,United States of America,USA
187.243496,101.63121538461537,North Platte,United States of America,USA
181.942964,101.62281538461536,Sidney,United States of America,USA
180.304604,99.8806769230769,Scottsbluff,United States of America,USA
181.883456,97.58144615384614,Chadron,United States of America,USA
192.91079599999998,117.2814923076923,Lawton,United States of America,USA
195.46964,115.77595384615384,Norman,United States of America,USA
200.210624,114.5303846153846,Muskogee,United States of America,USA
196.09118,112.23416923076923,Ponca City,United States of America,USA
196.45492399999998,115.50090769230769,Shawnee,United States of America,USA
190.53944,112.88990769230769,Woodward,United States of America,USA
185.541308,112.28575384615384,Guymon,United States of America,USA
195.35364799999996,97.452,Yankton,United States of America,USA
196.804844,94.04106153846152,Brookings,United States of America,USA
193.832144,95.45947692307692,Mitchell,United States of America,USA
192.727304,91.26798461538462,Aberdeen,United States of America,USA
188.04971600000002,91.08846153846153,Mobridge,United States of America,USA
211.374476,129.25892307692308,Houma,United States of America,USA
208.013948,122.2835846153846,Monroe,United States of America,USA
200.003156,127.54456923076921,Conroe,United States of America,USA
201.925232,124.4521846153846,Nacogdoches,United States of America,USA
187.918712,131.37744615384614,Eagle Pass,United States of America,USA
193.51106,137.1417846153846,Edinburg,United States of America,USA
194.24114,134.2384,Kingsville,United States of America,USA
203.66986400000002,128.5334,Port Arthur,United States of America,USA
199.775708,126.55886153846154,Huntsville,United States of America,USA
194.54937199999998,125.61676923076922,Killeen,United States of America,USA
201.748544,125.08735384615385,Lufkin,United States of America,USA
186.94131199999998,129.81666153846152,Del Rio,United States of America,USA
188.044964,124.78678461538462,San Angelo,United States of America,USA
197.235656,119.58696923076923,Sherman,United States of America,USA
203.254388,128.0850769230769,Beaumont,United States of America,USA
198.782324,130.73086153846154,Bay City,United States of America,USA
197.185004,131.6048923076923,Port Lavaca,United States of America,USA
193.54724,134.93043076923078,Falfurrias,United States of America,USA
194.49331999999998,132.10770769230768,Beeville,United States of America,USA
182.166956,126.15684615384615,Fort Stockton,United States of America,USA
180.69070399999998,124.90223076923075,Pecos,United States of America,USA
184.371128,114.25695384615383,Dumas,United States of America,USA
195.986636,120.59303076923075,Denton,United States of America,USA
184.057604,123.43007692307691,Midland,United States of America,USA
195.424388,125.65316923076922,Temple,United States of America,USA
254.15630000000002,101.16663076923076,New Haven,United States of America,USA
257.957576,98.04646153846153,Lowell,United States of America,USA
256.79722399999997,98.91607692307691,Worcester,United States of America,USA
257.624828,97.1791076923077,Manchester,United States of America,USA
257.96567600000003,100.78346153846152,Newport,United States of America,USA
224.168372,125.36261538461537,Dothan,United States of America,USA
218.997872,120.57063076923076,Tuscaloosa,United States of America,USA
222.68931199999997,118.68073846153845,Gadsden,United States of America,USA
223.07973199999998,125.11276923076922,Enterprise,United States of America,USA
220.253588,122.52783076923077,Selma,United States of America,USA
236.41146799999999,138.5488923076923,Coral Gables,United States of America,USA
232.35736400000002,136.42423076923075,Cape Coral,United States of America,USA
232.800812,137.52753846153846,Naples,United States of America,USA
236.328092,134.40403076923076,Fort Pierce,United States of America,USA
233.730476,132.3803846153846,Kissimmee,United States of America,USA
235.17098000000001,131.61361538461537,Titusville,United States of America,USA
233.953928,128.54330769230768,St. Augustine,United States of America,USA
231.971912,130.2370923076923,Ocala,United States of America,USA
236.76992,137.54186153846155,Fort Lauderdale,United States of America,USA
225.12406399999998,128.94844615384613,Apalachicola,United States of America,USA
236.171276,133.93610769230767,Vero Beach,United States of America,USA
229.23886399999998,126.29770769230768,Valdosta,United States of America,USA
227.132756,124.51206153846152,Albany,United States of America,USA
229.000184,118.80824615384614,Athens,United States of America,USA
228.395168,121.46781538461538,Macon,United States of America,USA
225.154088,122.37738461538461,Columbus,United States of America,USA
230.266268,124.68199999999999,Douglas,United States of America,USA
230.103944,122.21692307692307,Dublin,United States of America,USA
215.27997200000001,127.41167692307693,Gulfport,United States of America,USA
214.805852,125.11406153846154,Hattiesburg,United States of America,USA
216.214928,118.09812307692306,Tupelo,United States of America,USA
210.55292,120.12715384615385,Greenville,United States of America,USA
209.770676,124.56935384615383,Natchez,United States of America,USA
237.67982,118.24716923076923,Florence,United States of America,USA
231.36236,116.67367692307691,Greenville,United States of America,USA
236.28986,118.9054923076923,Sumter,United States of America,USA
230.747408,117.50958461538461,Anderson,United States of America,USA
232.979444,119.79416923076923,Aiken,United States of America,USA
235.454912,122.46903076923076,Beaufort,United States of America,USA
234.63746,116.46432307692307,Rock Hill,United States of America,USA
215.611316,104.73286153846152,Decatur,United States of America,USA
212.65956799999998,107.00646153846154,Alton,United States of America,USA
209.717324,104.50476923076923,Quincy,United States of America,USA
217.41329599999997,104.08821538461538,Urbana,United States of America,USA
215.518112,103.19146153846154,Bloomington,United States of America,USA
218.23701200000002,101.66933846153846,Kankakee,United States of America,USA
218.276324,98.69196923076923,Waukegan,United States of America,USA
217.183256,100.12513846153846,Aurora,United States of America,USA
214.97390000000001,109.79353846153846,Carbondale,United States of America,USA
213.101288,107.88232307692307,Belleville,United States of America,USA
221.441372,106.349,Bloomington,United States of America,USA
224.178416,103.8876923076923,Muncie,United States of America,USA
